seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,experiment,n_samples,noise_prob,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,241.01651399905677,0.0625,0.06610559672117233,corruption,64,0.0,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,264.39932600078464,0.0625,0.05428275093436241,corruption,64,0.0,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.6589915156364441,0.6589915156364441,0.703125,0.703125,91.98546900006477,0.0625,0.01797640323638916,corruption,64,0.1,,,
1,standard,0.6216926574707031,0.6216926574707031,0.6875,0.703125,85.28725500036671,0.0625,0.017605988308787346,corruption,64,0.1,,,
2,standard,0.6514391303062439,0.6204199194908142,0.53125,0.71875,94.56036199844675,0.0624999925494194,0.016534244641661644,corruption,64,0.1,,,
3,standard,0.5427048802375793,0.5427048802375793,0.796875,0.796875,89.91519399933168,0.0625,0.018967298790812492,corruption,64,0.1,,,
4,standard,0.5869929194450378,0.5869929194450378,0.8125,0.8125,84.36458200048946,0.0625,0.017598893493413925,corruption,64,0.1,,,
0,transformed_conv,0.5776581168174744,0.5776581168174744,0.828125,0.828125,231.10276199986401,0.0625,0.05759667977690697,corruption,64,0.1,0.001610368024557829,-0.005491245072335005,-0.007524691987782717
1,transformed_conv,0.6236209869384766,0.6236209869384766,0.734375,0.734375,225.31917599917506,0.0625,0.057084571570158005,corruption,64,0.1,0.00230592698790133,0.0016259064432233572,-0.006022704765200615
2,transformed_conv,0.5736656188964844,0.5736656188964844,0.78125,0.8125,240.39432099925762,0.0625,0.051019422709941864,corruption,64,0.1,0.0025770708452910185,-0.004304215312004089,-0.0012087075738236308
3,transformed_conv,0.5862865447998047,0.5862865447998047,0.734375,0.796875,227.4252439983684,0.0625000074505806,0.06375569105148315,corruption,64,0.1,0.006340614520013332,-0.005966807249933481,-0.001994800055399537
4,transformed_conv,0.6246723532676697,0.6246723532676697,0.703125,0.796875,238.4064469988516,0.0625,0.05326496809720993,corruption,64,0.1,0.005245284643024206,-0.0018940811278298497,-0.004653643816709518
0,standard,0.6592419743537903,0.6592419743537903,0.703125,0.703125,88.64871599871549,0.0625,0.0173402838408947,corruption,64,0.2,,,
1,standard,0.62624192237854,0.6255917549133301,0.671875,0.703125,89.19354200043017,0.0625,0.01772470399737358,corruption,64,0.2,,,
2,standard,0.6393154859542847,0.6127960085868835,0.625,0.703125,89.2238959986571,0.0625,0.0161906685680151,corruption,64,0.2,,,
3,standard,0.5628248453140259,0.5628248453140259,0.78125,0.78125,93.79970199915988,0.0625,0.019696524366736412,corruption,64,0.2,,,
4,standard,0.5644285678863525,0.5644285678863525,0.84375,0.84375,97.64915399864549,0.0624999962747097,0.017886893823742867,corruption,64,0.2,,,
0,transformed_conv,0.5904573202133179,0.5904573202133179,0.8125,0.8125,230.5116879997513,0.0625,0.05680439621210098,corruption,64,0.2,0.0004883612273260951,-0.003989492543041706,-0.007299561053514481
1,transformed_conv,0.6311073899269104,0.6311073899269104,0.703125,0.765625,234.68233100174984,0.0625,0.058654941618442535,corruption,64,0.2,0.0005119098350405693,0.0024021053686738014,0.0010023487266153097
2,transformed_conv,0.5938510894775391,0.5938510894775391,0.8125,0.8125,242.71668500114174,0.0625,0.04894354194402695,corruption,64,0.2,-0.0037740080151706934,-0.005851649213582277,-0.0030943709425628185
3,transformed_conv,0.5612128973007202,0.5612128973007202,0.75,0.796875,232.56728399974236,0.0625,0.06452284008264542,corruption,64,0.2,0.0032383366487920284,-0.006685560569167137,-0.0020277053117752075
4,transformed_conv,0.606690526008606,0.606690526008606,0.765625,0.828125,248.8949529997626,0.0625,0.05582119897007942,corruption,64,0.2,0.0023289325181394815,0.00140665122307837,-0.0031269409228116274
0,standard,0.6493585705757141,0.6493585705757141,0.703125,0.703125,84.77787899937539,0.0624999962747097,0.017057904973626137,corruption,64,0.3,,,
1,standard,0.6195586919784546,0.6195586919784546,0.65625,0.71875,78.61969700024929,0.0625,0.01787405274808407,corruption,64,0.3,,,
2,standard,0.6359367370605469,0.6125397086143494,0.609375,0.71875,91.6639450006187,0.0624999962747097,0.015857255086302757,corruption,64,0.3,,,
3,standard,0.5719218850135803,0.5719218850135803,0.75,0.75,88.22900599989225,0.0625,0.019573785364627838,corruption,64,0.3,,,
4,standard,0.5785459280014038,0.5785459280014038,0.765625,0.765625,78.71813299971109,0.0625,0.017743544653058052,corruption,64,0.3,,,
0,transformed_conv,0.6047545075416565,0.6047545075416565,0.84375,0.84375,227.00134400110983,0.0625,0.0561528205871582,corruption,64,0.3,0.006817885674536228,-0.002996620489284396,-0.006756926421076059
1,transformed_conv,0.6172125339508057,0.6172125339508057,0.75,0.765625,210.71314999971946,0.0625,0.06067238003015518,corruption,64,0.3,-0.0001600525574758649,0.001148020732216537,0.008310159668326378
2,transformed_conv,0.6049578189849854,0.6049578189849854,0.78125,0.78125,187.64573199950974,0.0625,0.048776399344205856,corruption,64,0.3,-0.006416784133762121,0.0009924303740262985,-0.00172953843139112
3,transformed_conv,0.5692301392555237,0.5692301392555237,0.796875,0.796875,218.23995399972773,0.0625,0.06129514425992966,corruption,64,0.3,0.007195065263658762,-0.004159207455813885,-0.003525246400386095
4,transformed_conv,0.630110502243042,0.630110502243042,0.75,0.765625,228.2450049988256,0.0625,0.055825695395469666,corruption,64,0.3,-0.0017068048473447561,0.0005195781704969704,-0.0025222627446055412
