seed,model_type,num_layers,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,encoder_attn_mean,cross_attn_mean,n_samples,dict_gate
1,analysis_synthesis_conv,2,9.844874382019043,9.844874382019043,0.015625,0.0205078125,656.7278759998771,0.0625,0.0625,64,-0.008682239800691605
2,analysis_synthesis_conv,2,8.713808059692383,8.713808059692383,0.0205078125,0.0263671875,621.2539709999874,0.0625000074505806,0.0625,64,0.008773203007876873
3,analysis_synthesis_conv,2,9.492509841918945,9.492509841918945,0.0205078125,0.025390625,621.915005000119,0.0624999962747097,0.0625,64,0.00896457303315401
4,analysis_synthesis_conv,2,10.626996040344238,10.626996040344238,0.017578125,0.0263671875,621.4016409999203,0.0625,0.0625,64,0.009017087519168854
0,standard_seq2seq,2,12.706136703491211,12.706136703491211,0.017578125,0.02001953125,375.3361369999766,0.0625,0.0625,128,
1,standard_seq2seq,2,11.881338119506836,11.881338119506836,0.0166015625,0.0185546875,361.46879899979467,0.0624999962747097,0.0625,128,
2,standard_seq2seq,2,11.873229026794434,11.873229026794434,0.01611328125,0.0205078125,360.86329999989175,0.0625,0.0625,128,
3,standard_seq2seq,2,13.088417053222656,13.088417053222656,0.015625,0.02001953125,363.2862340000429,0.0625,0.0625,128,
4,standard_seq2seq,2,11.916555404663086,11.916555404663086,0.01611328125,0.01953125,370.4242960002375,0.0625,0.0625,128,
0,analysis_synthesis_conv,2,10.034079551696777,10.034079551696777,0.01513671875,0.0166015625,1148.0540290003773,0.0625,0.0625000074505806,128,0.007575963158160448
1,analysis_synthesis_conv,2,10.079315185546875,10.079315185546875,0.0205078125,0.0205078125,1175.1909770000566,0.0624999962747097,0.0625000074505806,128,-0.008604049682617188
2,analysis_synthesis_conv,2,8.763887405395508,8.763887405395508,0.02099609375,0.0224609375,1138.158936000309,0.0625,0.0625,128,0.008735328912734985
3,analysis_synthesis_conv,2,9.642326354980469,9.642326354980469,0.02001953125,0.02001953125,1149.807785000121,0.0625,0.0625000074505806,128,0.008968634530901909
4,analysis_synthesis_conv,2,10.63396167755127,10.63396167755127,0.0185546875,0.0205078125,1154.1242559997045,0.0625,0.0625,128,0.009052648209035397
