seed,model_type,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,cross_attn_mean,noise_prob,dict_gate
2,analysis_synthesis_conv,9.534197807312012,9.534197807312012,0.09663865715265274,0.09663865715265274,444.7436039990862,0.1250000149011612,0.1,0.008771331049501896
3,analysis_synthesis_conv,9.716657638549805,9.716657638549805,0.15578947961330414,0.15578947961330414,432.83712199990987,0.125,0.1,0.008977976627647877
4,analysis_synthesis_conv,10.29557991027832,10.29557991027832,0.10105263441801071,0.10105263441801071,441.4619959989068,0.125,0.1,-0.008786401711404324
0,standard_seq2seq,13.480131149291992,13.480131149291992,0.07559395581483841,0.08423326164484024,174.7547550003219,0.125,0.2,
1,standard_seq2seq,13.584192276000977,13.584192276000977,0.018987340852618217,0.037974681705236435,177.44261100051517,0.125,0.2,
2,standard_seq2seq,11.714287757873535,11.714287757873535,0.038054969161748886,0.038054969161748886,178.33801800043148,0.125,0.2,
3,standard_seq2seq,11.825645446777344,11.825645446777344,0.08403361588716507,0.0903361365199089,176.61193500134686,0.125,0.2,
4,standard_seq2seq,12.937685012817383,12.937685012817383,0.09808102250099182,0.09808102250099182,184.79336199925456,0.125,0.2,
0,analysis_synthesis_conv,9.068675994873047,9.068675994873047,0.0712742954492569,0.0712742954492569,436.7154940009641,0.125,0.2,0.008715200237929821
1,analysis_synthesis_conv,9.119882583618164,9.119882583618164,0.09915611892938614,0.09915611892938614,451.2282329997106,0.125,0.2,0.008986219763755798
2,analysis_synthesis_conv,9.28231143951416,9.28231143951416,0.09302325546741486,0.09302325546741486,436.17154599996866,0.125,0.2,0.00887224916368723
3,analysis_synthesis_conv,9.811873435974121,9.811873435974121,0.17016807198524475,0.17016807198524475,440.04797900015546,0.125,0.2,0.008687353692948818
4,analysis_synthesis_conv,9.957419395446777,9.957419395446777,0.12579956650733948,0.13432836532592773,442.66958800108114,0.125,0.2,-0.008360178209841251
0,standard_seq2seq,13.882494926452637,13.882494926452637,0.07311827689409256,0.07311827689409256,168.10890799933986,0.1249999925494194,0.3,
1,standard_seq2seq,13.252396583557129,13.252396583557129,0.025104602798819542,0.04393305256962776,187.37810300081037,0.125,0.3,
2,standard_seq2seq,11.309189796447754,11.309189796447754,0.03601694852113724,0.03601694852113724,180.27216200061957,0.125,0.3,
3,standard_seq2seq,12.43724536895752,12.43724536895752,0.08050847798585892,0.09957627207040787,188.24871400101983,0.125,0.3,
4,standard_seq2seq,13.221675872802734,13.221675872802734,0.08993575721979141,0.08993575721979141,173.85277600078552,0.125,0.3,
0,analysis_synthesis_conv,9.324726104736328,9.324726104736328,0.08172042667865753,0.08172042667865753,413.69037900039984,0.125,0.3,0.009049284271895885
1,analysis_synthesis_conv,8.928430557250977,8.928430557250977,0.11924686282873154,0.11924686282873154,438.2464840000466,0.125,0.3,0.008991739712655544
2,analysis_synthesis_conv,9.119482040405273,9.119482040405273,0.10805084556341171,0.10805084556341171,425.354838000203,0.125,0.3,0.00903807207942009
3,analysis_synthesis_conv,9.993785858154297,9.993785858154297,0.15889830887317657,0.15889830887317657,412.80428699974436,0.125,0.3,0.0088295703753829
4,analysis_synthesis_conv,10.07592487335205,10.07592487335205,0.11777301877737045,0.11777301877737045,468.8055950009584,0.1249999925494194,0.3,-0.00880870409309864
