seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,noise_prob,q_gate,k_gate,v_gate
2,standard,0.6118385195732117,0.6118385195732117,0.65625,0.671875,44.883951999963756,0.0625,0.0236189141869545,0.2,,,
3,standard,0.6047845482826233,0.6047845482826233,0.78125,0.78125,43.95963400020264,0.0625,0.02335125021636486,0.2,,,
4,standard,0.6307989954948425,0.6307989954948425,0.65625,0.65625,43.805445000089094,0.0624999962747097,0.023144571110606194,0.2,,,
0,transformed_conv,0.5783771872520447,0.5783771872520447,0.78125,0.78125,116.74236500039115,0.0625,0.07272100448608398,0.2,-0.008527595549821854,-0.00907097663730383,0.0068031721748411655
1,transformed_conv,0.624761700630188,0.624761700630188,0.640625,0.640625,100.84444199992504,0.0625,0.06992164254188538,0.2,0.008790557272732258,0.008285674266517162,-0.008265232667326927
2,transformed_conv,0.5862241983413696,0.5862241983413696,0.75,0.75,89.73530100001881,0.0625,0.06862258911132812,0.2,0.008390245959162712,0.008541056886315346,0.009079216979444027
3,transformed_conv,0.6216528415679932,0.6216528415679932,0.6875,0.6875,116.46401799998785,0.0625,0.07053638249635696,0.2,0.000516649626661092,0.008931528776884079,-0.00639339117333293
4,transformed_conv,0.5700448155403137,0.5700448155403137,0.6875,0.6875,133.00207000020237,0.0625,0.07319793850183487,0.2,0.008952108211815357,0.008661321364343166,-0.00257619796320796
0,standard,0.6441054940223694,0.6441054940223694,0.625,0.640625,44.656537999799184,0.0625,0.023563263937830925,0.3,,,
1,standard,0.6130089163780212,0.6130089163780212,0.703125,0.703125,42.9104049999296,0.0625,0.024060560390353203,0.3,,,
2,standard,0.5986356139183044,0.5986356139183044,0.671875,0.75,42.97327199992651,0.0625,0.023776523768901825,0.3,,,
3,standard,0.6079591512680054,0.6079591512680054,0.6875,0.703125,43.7825500002873,0.0625,0.02300889603793621,0.3,,,
4,standard,0.6277056336402893,0.6277056336402893,0.734375,0.734375,43.955560000085825,0.0624999962747097,0.023162521421909332,0.3,,,
0,transformed_conv,0.5654406547546387,0.5654406547546387,0.78125,0.796875,109.33597400025974,0.0625,0.07340652495622635,0.3,-0.008453686721622944,0.008097435347735882,-0.006313500460237265
1,transformed_conv,0.6320558786392212,0.6320558786392212,0.640625,0.640625,91.70601200003148,0.0625,0.06892140209674835,0.3,0.008966020308434963,0.008163449354469776,-0.008627332746982574
2,transformed_conv,0.564093291759491,0.564093291759491,0.828125,0.828125,101.72752200014656,0.0625,0.06851207464933395,0.3,0.008197593502700329,0.008377260528504848,-0.002422783523797989
3,transformed_conv,0.6215215921401978,0.6215215921401978,0.65625,0.671875,118.46431100002519,0.0625,0.06974948197603226,0.3,0.008983762003481388,0.00908686313778162,0.008965017274022102
4,transformed_conv,0.5839306712150574,0.5839306712150574,0.65625,0.65625,107.46544299991001,0.0625,0.07219480723142624,0.3,0.00905531831085682,-0.003098616609349847,-0.0035494244657456875
